minute_start,count
1591093906.0,51573
1591093966.0,51853
1591094026.0,52303
1591094086.0,52507
1591094146.0,51832
1591094206.0,52022
1591094266.0,52307
1591094326.0,52559
1591094386.0,52862
1591094446.0,53207
1591094506.0,53506
1591094566.0,53758
1591094626.0,52885
1591094686.0,53224
1591094746.0,53121
1591094806.0,53135
1591094866.0,53435
1591094926.0,53219
1591094986.0,53365
1591095046.0,53826
1591095106.0,53194
1591095166.0,53170
1591095226.0,52633
1591095286.0,53112
1591095346.0,52882
1591095406.0,52772
1591095466.0,52954
1591095526.0,52860
1591095586.0,53658
1591095646.0,53581
1591095706.0,54434
1591095766.0,55190
1591095826.0,55864
1591095886.0,56200
1591095946.0,55740
1591096006.0,55715
1591096066.0,55586
1591096126.0,55618
1591096186.0,56715
1591096246.0,55571
1591096306.0,55510
1591096366.0,55370
1591096426.0,55334
1591096486.0,55621
1591096546.0,55863
1591096606.0,57362
1591096666.0,56764
1591096726.0,56954
1591096786.0,57450
1591096846.0,57148
1591096906.0,58238
1591096966.0,56642
1591097026.0,56370
1591097086.0,56781
1591097146.0,58587
1591097206.0,57438
1591097266.0,57805
1591097326.0,57926
1591097386.0,57821
1591097446.0,57965
1591097506.0,58349
1591097566.0,59719
1591097626.0,58321
1591097686.0,58935
1591097746.0,58621
1591097806.0,57575
1591097866.0,57778
1591097926.0,58695
1591097986.0,58328
1591098046.0,58416
1591098106.0,58313
1591098166.0,57976
1591098226.0,58642
1591098286.0,59225
1591098346.0,59917
1591098406.0,59016
1591098466.0,60716
1591098526.0,60115
1591098586.0,60343
1591098646.0,60322
1591098706.0,59526
1591098766.0,60432
1591098826.0,59173
1591098886.0,59229
1591098946.0,59519
1591099006.0,59373
1591099066.0,59432
1591099126.0,59339
1591099186.0,60969
1591099246.0,61549
1591099306.0,60730
1591099366.0,63565
1591099426.0,62028
1591099486.0,62483
1591099546.0,62839
1591099606.0,61720
1591099666.0,61509
1591099726.0,61323
1591099786.0,61558
1591099846.0,61636
1591099906.0,63134
1591099966.0,61580
1591100026.0,62108
1591100086.0,62581
1591100146.0,61795
1591100206.0,62265
1591100266.0,62059
1591100326.0,62167
1591100386.0,62530
1591100446.0,62798
1591100506.0,63178
1591100566.0,62444
1591100626.0,62388
1591100686.0,63038
1591100746.0,63340
1591100806.0,63465
1591100866.0,62899
1591100926.0,62823
1591100986.0,63186
1591101046.0,63082
1591101106.0,63256
1591101166.0,63425
1591101226.0,64161
1591101286.0,63979
1591101346.0,64003
1591101406.0,65146
1591101466.0,64239
1591101526.0,64517
1591101586.0,63816
1591101646.0,63923
1591101706.0,64483
1591101766.0,64026
1591101826.0,64716
1591101886.0,65501
1591101946.0,66913
1591102006.0,65818
1591102066.0,66762
1591102126.0,65839
1591102186.0,66068
1591102246.0,65906
1591102306.0,65613
1591102366.0,65575
1591102426.0,65004
1591102486.0,64949
1591102546.0,64540
1591102606.0,65349
1591102666.0,64522
1591102726.0,64947
1591102786.0,65567
1591102846.0,65400
1591102906.0,66187
1591102966.0,65549
1591103026.0,66467
1591103086.0,66342
1591103146.0,66051
1591103206.0,66801
1591103266.0,67350
1591103326.0,64934
1591103386.0,65156
1591103446.0,65187
1591103506.0,65402
1591103566.0,65069
1591103626.0,65290
1591103686.0,65578
1591103746.0,65508
1591103806.0,65774
1591103866.0,65532
1591103926.0,65081
1591103986.0,66120
1591104046.0,65747
1591104106.0,65757
1591104166.0,65134
1591104226.0,65029
1591104286.0,66729
1591104346.0,66260
1591104406.0,66046
1591104466.0,66137
1591104526.0,65641
1591104586.0,67071
1591104646.0,65537
1591104706.0,65195
1591104766.0,66393
1591104826.0,66290
1591104886.0,65664
1591104946.0,65760
1591105006.0,64960
1591105066.0,64309
1591105126.0,64636
1591105186.0,64745
1591105246.0,64859
1591105306.0,64920
1591105366.0,64744
1591105426.0,64564
1591105486.0,65618
1591105546.0,65017
1591105606.0,64614
1591105666.0,64890
1591105726.0,65244
1591105786.0,65586
1591105846.0,65243
1591105906.0,64656
1591105966.0,65417
1591106026.0,64049
1591106086.0,63947
1591106146.0,64270
1591106206.0,64076
1591106266.0,64191
1591106326.0,64693
1591106386.0,64132
1591106446.0,63635
1591106506.0,64641
1591106566.0,63835
1591106626.0,64980
1591106686.0,64600
1591106746.0,64445
1591106806.0,63772
1591106866.0,63497
1591106926.0,63778
1591106986.0,64181
1591107046.0,64104
1591107106.0,63499
1591107166.0,63374
1591107226.0,63661
1591107286.0,63380
1591107346.0,62905
1591107406.0,63921
1591107466.0,63156
1591107526.0,63002
1591107586.0,62670
1591107646.0,62479
1591107706.0,62556
1591107766.0,62122
1591107826.0,61766
1591107886.0,61460
1591107946.0,61621
1591108006.0,60874
1591108066.0,60931
1591108126.0,61107
1591108186.0,61438
1591108246.0,61416
1591108306.0,60852
1591108366.0,61802
1591108426.0,61741
1591108486.0,61364
1591108546.0,61128
1591108606.0,60811
1591108666.0,61067
1591108726.0,61659
1591108786.0,60411
1591108846.0,60205
1591108906.0,59785
1591108966.0,59758
1591109026.0,59856
1591109086.0,59950
1591109146.0,60377
1591109206.0,59503
1591109266.0,60398
1591109326.0,59712
1591109386.0,59619
1591109446.0,59119
1591109506.0,58359
1591109566.0,57524
1591109626.0,56837
1591109686.0,57025
1591109746.0,56589
1591109806.0,56637
1591109866.0,56571
1591109926.0,56134
1591109986.0,56014
1591110046.0,56821
1591110106.0,56920
1591110166.0,56741
1591110226.0,57116
1591110286.0,56846
1591110346.0,56344
1591110406.0,56045
1591110466.0,55891
1591110526.0,55457
1591110586.0,55350
1591110646.0,54872
1591110706.0,54809
1591110766.0,54752
1591110826.0,54235
1591110886.0,54836
1591110946.0,53902
1591111006.0,53962
1591111066.0,54034
1591111126.0,53193
1591111186.0,53775
1591111246.0,53668
1591111306.0,54055
1591111366.0,52684
1591111426.0,52454
1591111486.0,52270
1591111546.0,52190
1591111606.0,52723
1591111666.0,52134
1591111726.0,54661
1591111786.0,51949
1591111846.0,52433
1591111906.0,50585
1591111966.0,50512
1591112026.0,50523
1591112086.0,50784
1591112146.0,50431
1591112206.0,50127
1591112266.0,50308
1591112326.0,49778
1591112386.0,49677
1591112446.0,50100
1591112506.0,49654
1591112566.0,49815
1591112626.0,49633
1591112686.0,49912
1591112746.0,49813
1591112806.0,50027
1591112866.0,51799
1591112926.0,50456
1591112986.0,50454
1591113046.0,50256
1591113106.0,48957
1591113166.0,48496
1591113226.0,48023
1591113286.0,48275
1591113346.0,48026
1591113406.0,47623
1591113466.0,47668
1591113526.0,47631
1591113586.0,47727
1591113646.0,48297
1591113706.0,48330
1591113766.0,48658
1591113826.0,48545
1591113886.0,48280
1591113946.0,47847
1591114006.0,47943
1591114066.0,48126
1591114126.0,48939
1591114186.0,48426
1591114246.0,47986
1591114306.0,48050
1591114366.0,48003
1591114426.0,47815
1591114486.0,47918
1591114546.0,47631
1591114606.0,47631
1591114666.0,48220
1591114726.0,48923
1591114786.0,49293
1591114846.0,49244
1591114906.0,48653
1591114966.0,47975
1591115026.0,47750
1591115086.0,47367
1591115146.0,47886
1591115206.0,47077
1591115266.0,47335
1591115326.0,47948
1591115386.0,48614
1591115446.0,47609
1591115506.0,46392
1591115566.0,46634
1591115626.0,46759
1591115686.0,46212
1591115746.0,46461
1591115806.0,46173
1591115866.0,46984
1591115926.0,46364
1591115986.0,46654
1591116046.0,47547
1591116106.0,46107
1591116166.0,46198
1591116226.0,45829
1591116286.0,46005
1591116346.0,45704
1591116406.0,46096
1591116466.0,45975
1591116526.0,46393
1591116586.0,46810
1591116646.0,46087
1591116706.0,45171
1591116766.0,44735
1591116826.0,44694
1591116886.0,44815
1591116946.0,44670
1591117006.0,44573
1591117066.0,46478
1591117126.0,44404
1591117186.0,45174
1591117246.0,45018
1591117306.0,45135
1591117366.0,45273
1591117426.0,45063
1591117486.0,45244
1591117546.0,44526
1591117606.0,44101
1591117666.0,44226
1591117726.0,45305
1591117786.0,44472
1591117846.0,43811
1591117906.0,43410
1591117966.0,42833
1591118026.0,42932
1591118086.0,43231
1591118146.0,42586
1591118206.0,43005
1591118266.0,43581
1591118326.0,44810
1591118386.0,44121
1591118446.0,44365
1591118506.0,43718
1591118566.0,43875
1591118626.0,43328
1591118686.0,43390
1591118746.0,42784
1591118806.0,43283
1591118866.0,42467
1591118926.0,42426
1591118986.0,42841
1591119046.0,42701
1591119106.0,43417
1591119166.0,42182
1591119226.0,42382
1591119286.0,42051
1591119346.0,42156
1591119406.0,42273
1591119466.0,42007
1591119526.0,41976
1591119586.0,42433
1591119646.0,42165
1591119706.0,41725
1591119766.0,41924
1591119826.0,41808
1591119886.0,41919
1591119946.0,41679
1591120006.0,41692
1591120066.0,42106
1591120126.0,42809
1591120186.0,41865
1591120246.0,41362
1591120306.0,40922
1591120366.0,39990
1591120426.0,39712
1591120486.0,40122
1591120546.0,39428
1591120606.0,40536
1591120666.0,39632
1591120726.0,39790
1591120786.0,39470
1591120846.0,39421
1591120906.0,39587
1591120966.0,39562
1591121026.0,39363
1591121086.0,39515
1591121146.0,39012
1591121206.0,39379
1591121266.0,39134
1591121326.0,39023
1591121386.0,39316
1591121446.0,38834
1591121506.0,38494
1591121566.0,37816
1591121626.0,37870
1591121686.0,38244
1591121746.0,37935
1591121806.0,37843
1591121866.0,37459
1591121926.0,38434
1591121986.0,37421
1591122046.0,37724
1591122106.0,37176
1591122166.0,36678
1591122226.0,36974
1591122286.0,37416
1591122346.0,36558
1591122406.0,36463
1591122466.0,36558
1591122526.0,36583
1591122586.0,36288
1591122646.0,36661
1591122706.0,36602
1591122766.0,36536
1591122826.0,36160
1591122886.0,35647
1591122946.0,35371
1591123006.0,35202
1591123066.0,35309
1591123126.0,35870
1591123186.0,35088
1591123246.0,34535
1591123306.0,34426
1591123366.0,34858
1591123426.0,35000
1591123486.0,35199
1591123546.0,35756
1591123606.0,34844
1591123666.0,34820
1591123726.0,34425
1591123786.0,33998
1591123846.0,35369
1591123906.0,34488
1591123966.0,33753
1591124026.0,33142
1591124086.0,33489
1591124146.0,33164
1591124206.0,32940
1591124266.0,33512
1591124326.0,33321
1591124386.0,33630
1591124446.0,33050
1591124506.0,32782
1591124566.0,32668
1591124626.0,32509
1591124686.0,32722
1591124746.0,33420
1591124806.0,33032
1591124866.0,33063
1591124926.0,33351
1591124986.0,32326
1591125046.0,32553
1591125106.0,32411
1591125166.0,32109
1591125226.0,32069
1591125286.0,31802
1591125346.0,31731
1591125406.0,31760
1591125466.0,31533
1591125526.0,32668
1591125586.0,32154
1591125646.0,31846
1591125706.0,31114
1591125766.0,31196
1591125826.0,31185
1591125886.0,32454
1591125946.0,30982
1591126006.0,30637
1591126066.0,30421
1591126126.0,30214
1591126186.0,30502
1591126246.0,31660
1591126306.0,30970
1591126366.0,31546
1591126426.0,30616
1591126486.0,31270
1591126546.0,30729
1591126606.0,30429
1591126666.0,30800
1591126726.0,30683
1591126786.0,30957
1591126846.0,31629
1591126906.0,30257
1591126966.0,30053
1591127026.0,29826
1591127086.0,30003
1591127146.0,29761
1591127206.0,30889
1591127266.0,29277
1591127326.0,29247
1591127386.0,29236
1591127446.0,29478
1591127506.0,28788
1591127566.0,28334
1591127626.0,27904
1591127686.0,28383
1591127746.0,28482
