job,event_timestamp,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-streaming,1591093906313,1595497017951,1595497018115,1595497018423,1595497018493
emergency-stop-table,1591093906313,1595497017951,1595497018115,1595497018673,1595497018714
emergency-stop-streaming,1591093906632,1595497018978,1595497019005,1595497019431,1595497019438
emergency-stop-table,1591093906632,1595497018978,1595497019005,1595497019473,1595497019487
emergency-stop-streaming,1591093906894,1595497019981,1595497020021,1595497020326,1595497020375
emergency-stop-table,1591093906894,1595497019981,1595497020021,1595497020358,1595497020375
emergency-stop-streaming,1591093907173,1595497020985,1595497021010,1595497021190,1595497021250
emergency-stop-table,1591093907173,1595497020985,1595497021010,1595497021262,1595497021292
emergency-stop-streaming,1591093907520,1595497021987,1595497022044,1595497022347,1595497022366
emergency-stop-table,1591093907520,1595497021987,1595497022044,1595497022548,1595497022550
emergency-stop-table,1591093907778,1595497023010,1595497023034,1595497023315,1595497023319
emergency-stop-streaming,1591093907778,1595497023010,1595497023034,1595497023393,1595497023462
emergency-stop-streaming,1591093908157,1595497024009,1595497024088,1595497024496,1595497024501
emergency-stop-table,1591093908157,1595497024009,1595497024088,1595497024566,1595497024579
emergency-stop-streaming,1591093908471,1595497025020,1595497025135,1595497025478,1595497025490
emergency-stop-table,1591093908471,1595497025020,1595497025135,1595497025515,1595497025523
emergency-stop-streaming,1591093908791,1595497026021,1595497026198,1595497026493,1595497026496
emergency-stop-table,1591093908791,1595497026021,1595497026198,1595497026715,1595497026738
emergency-stop-streaming,1591093909157,1595497027035,1595497027094,1595497027545,1595497027551
emergency-stop-table,1591093909157,1595497027035,1595497027094,1595497027597,1595497027601
emergency-stop-streaming,1591093909520,1595497028041,1595497028090,1595497028721,1595497028733
emergency-stop-table,1591093909520,1595497028041,1595497028090,1595497028847,1595497028857
emergency-stop-table,1591093909757,1595497029047,1595497029083,1595497029534,1595497029551
emergency-stop-streaming,1591093909757,1595497029047,1595497029083,1595497029525,1595497029563
vehicle-count,1591093909520,1595497028041,1595497028090,1595497030457,1595497030469
vehicle-count,1591093908157,1595497024009,1595497024088,1595497030475,1595497030499
vehicle-count,1591093907173,1595497020985,1595497021010,1595497030476,1595497030500
vehicle-count,1591093909757,1595497029047,1595497029083,1595497030501,1595497030539
vehicle-count,1591093908470,1595497025020,1595497025067,1595497030547,1595497030586
vehicle-count,1591093907520,1595497021987,1595497022044,1595497030612,1595497030628
vehicle-count,1591093908471,1595497025020,1595497025135,1595497030620,1595497030636
vehicle-count,1591093907778,1595497023010,1595497023034,1595497030626,1595497030638
vehicle-count,1591093907777,1595497023004,1595497023031,1595497030627,1595497030669
vehicle-count,1591093909157,1595497027035,1595497027094,1595497030629,1595497030669
vehicle-count,1591093906632,1595497018978,1595497019005,1595497030629,1595497030670
vehicle-count,1591093907172,1595497020985,1595497021005,1595497030632,1595497030671
vehicle-count,1591093908791,1595497026021,1595497026198,1595497030669,1595497030677
vehicle-count,1591093906313,1595497017951,1595497018115,1595497030635,1595497030682
vehicle-count,1591093906894,1595497019981,1595497020021,1595497030635,1595497030682
delay-statistics,1591093908155,1595497024009,1595497024085,1595497030711,1595497030727
delay-statistics,1591093906311,1595497017951,1595497018119,1595497030742,1595497030752
delay-statistics,1591093906630,1595497018978,1595497019009,1595497030743,1595497030752
delay-statistics,1591093909755,1595497029047,1595497029100,1595497030746,1595497030753
delay-statistics,1591093908469,1595497025041,1595497025135,1595497030747,1595497030753
delay-statistics,1591093907518,1595497021987,1595497022041,1595497030731,1595497030755
delay-statistics,1591093909155,1595497027080,1595497027127,1595497030732,1595497030755
delay-statistics,1591093907171,1595497020990,1595497021009,1595497030733,1595497030756
delay-statistics,1591093907776,1595497023010,1595497023035,1595497030736,1595497030756
delay-statistics,1591093908789,1595497026021,1595497026090,1595497030718,1595497030756
delay-statistics,1591093906892,1595497019986,1595497020018,1595497030720,1595497030756
delay-statistics,1591093909518,1595497028041,1595497028128,1595497030730,1595497030757
emergency-stop-streaming,1591093910157,1595497030040,1595497030055,1595497030838,1595497030853
emergency-stop-table,1591093910157,1595497030040,1595497030055,1595497030957,1595497030960
emergency-stop-streaming,1591093910370,1595497031059,1595497031115,1595497031557,1595497031641
emergency-stop-table,1591093910370,1595497031059,1595497031115,1595497031795,1595497031804
emergency-stop-streaming,1591093910718,1595497032063,1595497032175,1595497032748,1595497032771
emergency-stop-table,1591093910718,1595497032063,1595497032175,1595497033059,1595497033065
emergency-stop-streaming,1591093911157,1595497033067,1595497033107,1595497033899,1595497033928
emergency-stop-table,1591093911157,1595497033067,1595497033107,1595497034328,1595497034339
emergency-stop-streaming,1591093911409,1595497034070,1595497034117,1595497034966,1595497034972
emergency-stop-table,1591093911409,1595497034070,1595497034117,1595497035883,1595497035896
emergency-stop-streaming,1591093911744,1595497035087,1595497035142,1595497036536,1595497036548
emergency-stop-streaming,1591093912157,1595497036105,1595497036161,1595497037728,1595497037741
emergency-stop-table,1591093911744,1595497035087,1595497035142,1595497037984,1595497037997
emergency-stop-table,1591093912157,1595497036105,1595497036161,1595497038011,1595497038047
emergency-stop-streaming,1591093912370,1595497037091,1595497037125,1595497038370,1595497038378
emergency-stop-table,1591093912370,1595497037091,1595497037125,1595497038862,1595497038867
emergency-stop-streaming,1591093912734,1595497038110,1595497038130,1595497039781,1595497039793
emergency-stop-table,1591093912734,1595497038110,1595497038130,1595497040749,1595497040754
emergency-stop-streaming,1591093913157,1595497039122,1595497039160,1595497041656,1595497041720
emergency-stop-streaming,1591093913426,1595497040112,1595497040140,1595497042811,1595497042816
emergency-stop-streaming,1591093913710,1595497041127,1595497041174,1595497043852,1595497043868
emergency-stop-table,1591093913426,1595497040112,1595497040140,1595497044369,1595497044380
emergency-stop-table,1591093913157,1595497039122,1595497039160,1595497044706,1595497044716
vehicle-count,1591093914382,1595497043156,1595497043183,1595497045612,1595497045622
delay-statistics,1591093914692,1595497044172,1595497044200,1595497045618,1595497045626
delay-statistics,1591093912732,1595497038118,1595497038162,1595497045620,1595497045626
delay-statistics,1591093910155,1595497030048,1595497030057,1595497045610,1595497045627
delay-statistics,1591093913424,1595497040120,1595497040139,1595497045610,1595497045627
delay-statistics,1591093913155,1595497039122,1595497039160,1595497045611,1595497045627
delay-statistics,1591093911407,1595497034075,1595497034119,1595497045612,1595497045627
delay-statistics,1591093911742,1595497035087,1595497035142,1595497045613,1595497045627
delay-statistics,1591093911155,1595497033073,1595497033109,1595497045614,1595497045627
