job,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-table,1596546083669,1596546083686,1596546084600,1596546084627
emergency-stop-streaming,1596546083669,1596546083686,1596546084692,1596546084725
emergency-stop-table,1596546084672,1596546084694,1596546085624,1596546085648
emergency-stop-table,1596546085675,1596546085715,1596546086614,1596546086686
emergency-stop-table,1596546086679,1596546086695,1596546087628,1596546087659
emergency-stop-streaming,1596546086679,1596546086695,1596546087649,1596546087666
delay-statistics,1596546084672,1596546084705,1596546087726,1596546087759
delay-statistics,1596546083669,1596546083688,1596546087726,1596546087759
delay-statistics,1596546085675,1596546085718,1596546087705,1596546087766
vehicle-count,1596546083669,1596546083686,1596546087735,1596546087782
vehicle-count,1596546085675,1596546085715,1596546087764,1596546087807
vehicle-count,1596546083668,1596546083689,1596546087753,1596546087809
vehicle-count,1596546083669,1596546083686,1596546087753,1596546087809
vehicle-count,1596546084672,1596546084694,1596546087774,1596546087812
vehicle-count,1596546085674,1596546085708,1596546087788,1596546087847
vehicle-count,1596546085674,1596546085715,1596546087788,1596546087847
vehicle-count,1596546084672,1596546084694,1596546087790,1596546087847
vehicle-count,1596546084672,1596546084700,1596546087804,1596546087848
emergency-stop-streaming,1596546087687,1596546087767,1596546088668,1596546088681
emergency-stop-streaming,1596546089688,1596546089701,1596546090521,1596546090532
emergency-stop-table,1596546089688,1596546089701,1596546090625,1596546090635
emergency-stop-table,1596546090690,1596546090714,1596546091628,1596546091643
emergency-stop-streaming,1596546091695,1596546091707,1596546092523,1596546092548
emergency-stop-table,1596546091695,1596546091707,1596546092634,1596546092640
vehicle-count,1596546086679,1596546086695,1596546092714,1596546092728
vehicle-count,1596546090690,1596546090714,1596546092715,1596546092732
vehicle-count,1596546086678,1596546086702,1596546092724,1596546092760
vehicle-count,1596546089688,1596546089704,1596546092718,1596546092771
vehicle-count,1596546089688,1596546089701,1596546092718,1596546092771
vehicle-count,1596546089688,1596546089701,1596546092718,1596546092771
vehicle-count,1596546087687,1596546087767,1596546092712,1596546092792
vehicle-count,1596546086679,1596546086686,1596546092739,1596546092796
vehicle-count,1596546088688,1596546088705,1596546092739,1596546092796
delay-statistics,1596546086679,1596546086697,1596546092769,1596546092806
delay-statistics,1596546087689,1596546087761,1596546092769,1596546092806
delay-statistics,1596546088688,1596546088698,1596546092780,1596546092845
delay-statistics,1596546089689,1596546089704,1596546092775,1596546092846
delay-statistics,1596546090690,1596546090702,1596546092773,1596546092847
